Flight, Spawn chance in promille, Fail rates, Average air wait time, Average ground wait time, Longest air time, Longest ground time, Average strip use
112,88.2,118.783,-nan(ind),50,785,369.515
113,89.6,106.321,-nan(ind),50,680,352.34
114,88.5,117.453,-nan(ind),50,685,336.135
115,90,105.128,-nan(ind),50,610,333.175
116,91.6,92.4896,-nan(ind),50,890,292.255
117,92,86.8029,-nan(ind),50,1065,284.355
118,93.5,77.077,-nan(ind),50,735,255.695
119,93.7,75.0681,-nan(ind),50,1070,256.745
120,93.4,80.0502,-nan(ind),50,995,220.99
121,93.6,79.3774,-nan(ind),50,905,211.8
122,94.8,64.6855,-nan(ind),50,985,216.56
123,96.5,49.2873,-nan(ind),50,975,190.79
124,95,66.3912,-nan(ind),50,845,183.08
125,95.7,61.6746,-nan(ind),50,1035,177.215
126,96.8,46.1983,-nan(ind),50,855,157.235
127,97.4,40.067,-nan(ind),50,1150,156.125
128,96.6,51.6358,-nan(ind),50,865,144.16
129,97.4,41.6519,-nan(ind),50,995,134.765
130,97.1,45.2701,-nan(ind),50,880,135.075
131,98,35.7322,-nan(ind),50,890,126.91
132,98.1,36.2055,-nan(ind),50,1445,114.645
133,98.3,32.0911,-nan(ind),50,1100,109.16
134,98.8,25.4456,-nan(ind),50,1260,98.26
135,99,24.0877,-nan(ind),50,1235,100.595
136,98.8,27.4145,-nan(ind),50,1055,92.155
137,98.7,28.0353,-nan(ind),50,1000,91.445
138,98.8,27.3707,-nan(ind),50,1840,87.405
139,99.2,23.3942,-nan(ind),50,1645,83.38
140,99.7,16.5768,-nan(ind),50,1120,78.69
141,99,25.3075,-nan(ind),50,1295,71.15
142,99.4,20.6925,-nan(ind),50,1180,73.405
143,99.3,22.749,-nan(ind),50,1310,67.125
144,99.5,20.2451,-nan(ind),50,1525,64.66
145,99.4,20.9804,-nan(ind),50,1370,62.26
146,99.4,20.032,-nan(ind),50,1970,59.935
147,99.7,17.2573,-nan(ind),50,1140,57.415
148,99.9,13.732,-nan(ind),50,1700,56.235
149,99.8,15.915,-nan(ind),50,1440,52.76
150,99.9,14.7099,-nan(ind),50,1385,49.04
151,99.9,14.3102,-nan(ind),50,1545,50.93
152,99.9,14.304,-nan(ind),50,1485,49.725
153,99.7,17.3432,-nan(ind),50,1245,46.33
154,99.7,17.9682,-nan(ind),50,1880,46.195
155,99.9,14.4878,-nan(ind),50,2090,46.64
156,100,12.8507,-nan(ind),50,1915,44.365
157,99.9,14.5513,-nan(ind),50,1550,43.735
158,99.9,14.6476,-nan(ind),50,1955,41.785
159,99.9,14.7761,-nan(ind),50,1320,41.335
160,99.7,17.3409,-nan(ind),50,1585,38.89
161,100,13.1192,-nan(ind),50,1575,38.04
162,100,13.2041,-nan(ind),50,1470,35.625
163,100,13.2325,-nan(ind),50,1215,35.35
164,100,13.2503,-nan(ind),50,1590,36.845
165,99.9,15.2407,-nan(ind),50,2055,35.73
166,100,13.2336,-nan(ind),50,1950,33.825
167,100,13.3817,-nan(ind),50,1305,34.03
168,100,13.4598,-nan(ind),50,1510,32.795
169,99.9,15.3201,-nan(ind),50,1615,31.985
170,100,13.5685,-nan(ind),50,1485,33.005
171,100,13.564,-nan(ind),50,1955,31.995
172,100,13.8208,-nan(ind),50,1235,30.24
173,100,13.6127,-nan(ind),50,1485,29.24
174,100,13.8481,-nan(ind),50,1545,30.615
175,100,13.7146,-nan(ind),50,1540,29.55
176,100,13.7107,-nan(ind),50,1485,30.01
177,100,13.7982,-nan(ind),50,1310,27.725
178,100,13.9056,-nan(ind),50,1350,27.765
179,100,13.6954,-nan(ind),50,1730,26.85
180,100,14.1012,-nan(ind),50,1695,26.575
181,99.9,16.057,-nan(ind),50,2455,25.795
182,100,14.2199,-nan(ind),50,1330,24.675
183,100,13.9183,-nan(ind),50,2005,25.725
184,100,13.9181,-nan(ind),50,1595,24.895
185,100,13.8171,-nan(ind),50,1580,24.145
186,100,14.1825,-nan(ind),50,1570,24.4
187,100,14.0793,-nan(ind),50,1565,23.22
188,100,14.1043,-nan(ind),50,1655,23.895
189,100,14.4415,-nan(ind),50,1880,23.16
190,100,14.4661,-nan(ind),50,1320,22.825
191,100,14.3474,-nan(ind),50,1550,21.975
192,100,14.409,-nan(ind),50,1470,21.73
193,100,14.4842,-nan(ind),50,1605,22.095
194,100,14.4578,-nan(ind),50,1115,21.17
195,100,14.3236,-nan(ind),50,1285,22.665
196,100,14.6108,-nan(ind),50,1575,20.925
197,100,14.4603,-nan(ind),50,1350,21.28
198,100,14.5284,-nan(ind),50,1440,19.905
199,100,14.5993,-nan(ind),50,1605,21.105
200,100,14.2675,-nan(ind),50,1575,20.745
201,100,14.6686,-nan(ind),50,1315,19.405
202,100,14.5662,-nan(ind),50,1320,19.305
203,100,14.7363,-nan(ind),50,1215,18.95
204,100,14.8029,-nan(ind),50,1175,19.965
205,100,15.006,-nan(ind),50,1290,18.875
206,100,14.8674,-nan(ind),50,1295,18.755
207,100,14.8855,-nan(ind),50,965,19.525
208,100,14.9337,-nan(ind),50,1080,18.89
209,100,14.9878,-nan(ind),50,1260,19.01
210,100,14.838,-nan(ind),50,1320,17.97
211,100,14.9312,-nan(ind),50,1105,18.37
212,100,15.0336,-nan(ind),50,1300,17.84
213,100,14.8029,-nan(ind),50,1540,18.835
214,100,14.8632,-nan(ind),50,1440,17.86
215,100,14.5264,-nan(ind),50,1315,17.885
216,100,14.9399,-nan(ind),50,1940,17.805
217,100,14.9103,-nan(ind),50,1085,17.295
218,100,15.133,-nan(ind),50,1605,17.25
219,100,15.1113,-nan(ind),50,1445,16.74
